total_time,numbers_generation_time,bucket_distibution_time,bucket_sort_time,bucket_join_time
0.000055,0.000004,0.842616,0.000014,0.000002
0.000524,0.000002,0.846751,0.000005,0.000002
0.001004,0.000002,0.852720,0.000004,0.000002
0.001086,0.000002,0.859715,0.000005,0.000002
0.007416,0.000069,0.896133,0.002011,0.000002
0.012220,0.000002,0.952260,0.003539,0.000002
0.000917,0.000002,0.974597,0.000023,0.000002
0.000640,0.000002,0.977066,0.000033,0.000002
0.001250,0.000004,0.983293,0.000044,0.000003
0.001238,0.000007,0.989846,0.000127,0.000003
0.000530,0.000003,0.995298,0.000039,0.000002
0.002832,0.000002,0.403950,0.000415,0.000002
