total_time,numbers_generation_time,bucket_distibution_time,bucket_sort_time,bucket_join_time
0.015501,0.000777,0.009399,0.004905,0.000416
0.014063,0.000666,0.010127,0.002883,0.000382
0.009749,0.000633,0.006422,0.002325,0.000364
0.009357,0.000655,0.006111,0.002096,0.000490
0.016386,0.001132,0.010675,0.004200,0.000374
0.016136,0.002281,0.009113,0.004303,0.000434
0.011811,0.000864,0.008177,0.002228,0.000536
0.010744,0.000822,0.007249,0.002262,0.000406
0.013255,0.000925,0.008610,0.003161,0.000554
0.011154,0.000707,0.007138,0.002763,0.000540
0.013743,0.001085,0.009668,0.002477,0.000508
0.013821,0.000813,0.009855,0.002439,0.000709
