total_time,numbers_generation_time,bucket_distibution_time,bucket_sort_time,bucket_join_time
76.132420,1.432410,60.809215,13.171291,0.955460
42.972728,1.433910,34.432277,6.592138,0.955403
32.239459,1.432062,25.935868,4.399704,0.956404
26.028409,1.432714,20.821749,3.301570,0.957475
22.034443,1.432470,17.348174,2.642137,0.958608
19.583880,1.433307,15.540785,2.202417,0.958984
17.664780,1.431597,13.897999,1.890475,0.958978
16.391229,1.432727,12.593943,1.653616,0.959756
15.251967,1.433161,11.836201,1.470432,0.960901
14.478249,1.432081,11.284114,1.324474,0.962692
13.827645,1.432130,10.670531,1.204149,0.965393
13.201882,1.433752,10.241263,1.104696,0.964074
