total_time,numbers_generation_time,bucket_distibution_time,bucket_sort_time,bucket_join_time
25.459265,1.432149,60.952941,13.211936,0.949944
23.114309,1.430730,60.366928,6.613242,0.950522
22.340108,1.429622,60.189539,4.409260,0.949750
22.412079,1.430447,61.330521,3.309331,0.950092
22.879707,1.428838,63.423036,2.647857,0.953274
22.891601,1.430177,64.835329,2.206304,0.954467
23.433373,1.432937,66.346832,1.893376,0.954941
23.574800,1.431278,66.854777,1.653116,0.928139
24.165075,1.431913,79.645471,1.466485,0.891816
24.460075,1.432943,70.605962,1.315431,0.867169
25.810352,1.432114,73.010495,1.192263,0.855137
26.124851,1.431141,81.611115,1.076541,0.818747
