total_time,numbers_generation_time,bucket_distibution_time,bucket_sort_time,bucket_join_time
0.070302,0.000746,0.960131,0.057630,0.003407
0.070234,0.000697,0.039285,0.057638,0.003383
0.070205,0.000713,0.119474,0.057664,0.003362
0.070198,0.000747,0.199659,0.057597,0.003368
0.070325,0.000698,0.281483,0.057729,0.003372
0.070313,0.000721,0.362210,0.057724,0.003402
0.070198,0.000749,0.442845,0.057563,0.003383
0.070127,0.000714,0.523254,0.057576,0.003387
0.070263,0.000729,0.603604,0.057648,0.003372
0.070187,0.000737,0.683732,0.057586,0.003364
0.070176,0.000729,0.764177,0.057593,0.003375
0.070180,0.000735,0.848105,0.057577,0.003378
0.070186,0.000707,0.928469,0.057620,0.003357
0.070226,0.000729,0.008575,0.057599,0.003391
0.070197,0.000756,0.089397,0.057557,0.003381
0.070219,0.000728,0.168647,0.057611,0.003387
0.070217,0.000737,0.248076,0.057567,0.003370
0.070256,0.000713,0.327572,0.057587,0.003367
0.070281,0.000749,0.406962,0.057635,0.003378
0.070461,0.000710,0.486407,0.057760,0.003381
0.070262,0.000742,0.566989,0.057654,0.003364
0.070188,0.000710,0.647404,0.057636,0.003370
0.070081,0.000746,0.726678,0.057515,0.003347
0.069817,0.000733,0.805520,0.057381,0.003341
0.069611,0.000697,0.883922,0.057330,0.003326
0.069538,0.000685,0.963080,0.057352,0.003240
0.069366,0.000680,0.041137,0.057280,0.003211
0.069577,0.000684,0.118600,0.057347,0.003363
0.069718,0.000703,0.198511,0.057384,0.003350
0.069725,0.000707,0.278035,0.057367,0.003349
0.069768,0.000712,0.356478,0.057411,0.003362
0.069738,0.000712,0.435923,0.057382,0.003345
0.069775,0.000714,0.515536,0.057424,0.003351
0.069842,0.000698,0.595032,0.057477,0.003353
0.069755,0.000706,0.674560,0.057415,0.003351
0.069855,0.000692,0.753206,0.057515,0.003354
0.069875,0.000712,0.832773,0.057465,0.003362
0.069934,0.000703,0.912401,0.057514,0.003410
0.070023,0.000713,0.992586,0.057657,0.003352
0.069835,0.000706,0.071562,0.057462,0.003366
0.069880,0.000702,0.151335,0.057484,0.003387
0.069864,0.000753,0.230983,0.057417,0.003380
0.069833,0.000717,0.310573,0.057409,0.003384
0.069874,0.000702,0.390066,0.057479,0.003371
0.069845,0.000701,0.470113,0.057438,0.003377
0.069873,0.000717,0.549926,0.057457,0.003385
0.069825,0.000718,0.629713,0.057441,0.003367
0.069855,0.000724,0.709971,0.057426,0.003378
0.069816,0.000709,0.789601,0.057418,0.003389
0.069807,0.000692,0.868144,0.057431,0.003382
0.069982,0.000717,0.946717,0.057558,0.003382
0.069880,0.000706,0.025542,0.057499,0.003381
0.069786,0.000704,0.104638,0.057402,0.003373
0.069877,0.000696,0.184196,0.057455,0.003378
0.069816,0.000713,0.262800,0.057421,0.003352
0.069808,0.000689,0.342245,0.057457,0.003377
0.069874,0.000732,0.421744,0.057432,0.003374
0.069810,0.000699,0.501077,0.057394,0.003369
0.069953,0.000726,0.580550,0.057479,0.003363
0.069969,0.000726,0.660040,0.057506,0.003359
0.069983,0.000742,0.738603,0.057481,0.003385
0.069893,0.000707,0.817253,0.057451,0.003362
0.069883,0.000700,0.897105,0.057446,0.003375
0.069832,0.000701,0.977073,0.057431,0.003352
0.069943,0.000728,0.056040,0.057465,0.003360
0.069907,0.000711,0.136101,0.057454,0.003366
0.069939,0.000728,0.215801,0.057476,0.003375
0.069947,0.000708,0.295194,0.057495,0.003370
0.069990,0.000718,0.375576,0.057543,0.003388
0.070095,0.000753,0.456034,0.057527,0.003372
0.070026,0.000730,0.536024,0.057510,0.003367
0.070131,0.000753,0.622706,0.057518,0.003379
0.069985,0.000721,0.702534,0.057495,0.003383
0.069861,0.000722,0.787641,0.057393,0.003372
0.069907,0.000702,0.867251,0.057464,0.003382
0.069929,0.000741,0.946815,0.057474,0.003360
0.069958,0.000723,0.026032,0.057516,0.003359
0.070125,0.000698,0.106300,0.057612,0.003362
0.069968,0.000709,0.185241,0.057454,0.003373
0.070000,0.000730,0.264130,0.057492,0.003356
0.069957,0.000733,0.343691,0.057472,0.003382
0.069863,0.000726,0.426745,0.057391,0.003349
0.069893,0.000696,0.506195,0.057449,0.003373
0.070061,0.000699,0.585103,0.057541,0.003447
0.070158,0.000752,0.664934,0.057577,0.003395
0.070096,0.000699,0.745341,0.057565,0.003401
0.070205,0.000713,0.825542,0.057618,0.003394
0.070298,0.000736,0.905980,0.057700,0.003388
0.070038,0.000723,0.986490,0.057499,0.003395
0.070153,0.000709,0.066426,0.057668,0.003392
0.069998,0.000725,0.149499,0.057506,0.003388
0.070118,0.000742,0.229782,0.057554,0.003385
0.070113,0.000741,0.309662,0.057556,0.003397
0.070214,0.000743,0.389072,0.057598,0.003410
0.070023,0.000696,0.468103,0.057563,0.003388
0.070177,0.000698,0.548342,0.057592,0.003411
0.070159,0.000728,0.628716,0.057588,0.003382
0.070241,0.000743,0.707901,0.057642,0.003385
0.070083,0.000735,0.786958,0.057510,0.003409
0.000000,0.000000,0.000000,0.000000,0.000000
