total_time,numbers_generation_time,bucket_distibution_time,bucket_sort_time,bucket_join_time
206.720858,3.577259,168.115382,32.973082,2.508242
117.702218,3.574244,95.694634,16.515660,2.441603
87.097924,3.576864,70.537816,11.016400,2.483414
69.269103,3.574933,55.515217,8.251854,2.513714
59.385015,3.574117,47.566123,6.603930,2.443214
51.821738,3.572911,40.817576,5.505896,2.514113
47.105703,3.573046,36.792529,4.719100,2.449917
43.359600,3.574452,33.455080,4.135786,2.522003
40.661925,3.574923,31.576691,3.672982,2.475978
38.492639,3.580847,29.625294,3.311184,2.515143
36.845785,3.571986,28.310533,3.012556,2.557637
35.079320,3.575309,26.835523,2.765407,2.529025
