total_time,numbers_generation_time,bucket_distibution_time,bucket_sort_time,bucket_join_time
473.490165,7.174584,394.653365,66.262978,5.399236
303.880355,7.167539,224.938794,66.310544,5.463477
237.789717,7.165182,159.070363,66.191665,5.362506
201.669225,7.165533,123.018778,66.141765,5.343148
181.383082,7.165687,102.787350,66.131338,5.298707
168.977770,7.159504,90.146167,66.279548,5.392551
161.223578,7.164140,82.199055,66.381306,5.479076
153.677697,7.165251,74.480288,66.461748,5.570408
147.742145,7.165523,68.930902,66.229104,5.416614
142.782256,7.167066,64.080172,66.178906,5.356111
139.628245,7.166083,60.892946,66.213408,5.355807
136.294196,7.163256,57.447943,66.258227,5.424768
